# {"t_start": 1558624500.1182334, "env_id": "HalfCheetah-v3"} 
2163.863781,1000,4670.672182
2144.303951,1000,4673.003054
2488.627975,1000,4678.315212
1473.75595,1000,4680.74854
2321.490034,1000,4686.261696
2198.617532,1000,4688.769205
2019.796534,1000,4694.183508
1391.214471,1000,4696.683306
2016.217877,1000,4702.166165
1777.762545,1000,4704.487759
2651.411497,1000,4709.744202
1661.376893,1000,4712.015433
1843.917086,1000,4717.268235
2230.600405,1000,4719.503455
1337.84937,1000,4724.844372
998.566358,1000,4727.361832
1299.955637,1000,4732.719272
875.662347,1000,4735.041058
2406.681773,1000,4740.33724
2313.965974,1000,4742.512327
1359.828134,1000,4747.810957
1583.845287,1000,4750.227895
2295.560713,1000,4755.533227
2199.866453,1000,4757.778884
1423.380933,1000,4762.989527
1736.97481,1000,4765.194043
1261.790109,1000,4770.710586
2427.21199,1000,4772.970229
2957.038872,1000,4778.402547
2157.753707,1000,4780.887508
2038.379671,1000,4786.436645
1593.297,1000,4788.813715
1352.575981,1000,4794.357508
1866.849744,1000,4796.621231
1894.391091,1000,4801.891549
1998.043846,1000,4804.087755
1555.893261,1000,4809.515577
1372.71101,1000,4812.010759
1870.274703,1000,4817.48953
1969.035479,1000,4819.756562
1511.812448,1000,4825.2077
901.434612,1000,4827.457579
2640.258255,1000,4832.892942
1573.995364,1000,4835.321552
1947.541072,1000,4840.699306
1913.006077,1000,4842.995337
2095.749596,1000,4848.40524
1982.218844,1000,4850.880559
1851.350493,1000,4856.272036
1772.68667,1000,4858.464548
2397.639312,1000,4863.895851
2456.088619,1000,4866.042856
1513.727867,1000,4871.468472
901.116602,1000,4873.889363
2144.282097,1000,4879.188996
1406.623485,1000,4881.40921
1432.171555,1000,4886.822953
2381.769512,1000,4889.115735
1962.675791,1000,4894.43699
1979.403095,1000,4896.565462
1298.438306,1000,4901.968525
1090.861859,1000,4904.200684
2019.348684,1000,4909.662415
1481.973022,1000,4911.873991
1750.022456,1000,4917.291524
1977.466127,1000,4919.658059
2496.373534,1000,4925.049588
1030.239448,1000,4927.425622
1768.049854,1000,4932.797035
2296.744967,1000,4935.062657
1295.324401,1000,4940.584431
1394.949775,1000,4942.880542
1635.129197,1000,4948.468168
1934.059176,1000,4950.807706
1660.290202,1000,4956.307082
2364.288849,1000,4958.637952
949.472137,1000,4964.215299
1512.341875,1000,4966.443342
1926.573721,1000,4971.985076
1810.119679,1000,4974.377469
1832.626352,1000,4979.693747
2091.974514,1000,4981.969208
1249.416922,1000,4987.52539
1510.864969,1000,4989.795451
1587.749913,1000,4995.202349
1420.788599,1000,4997.437936
2536.507687,1000,5002.900165
1199.448864,1000,5005.294764
2165.814728,1000,5010.894243
1604.390452,1000,5013.318443
1323.996957,1000,5018.959651
1697.898062,1000,5021.478596
1679.052287,1000,5027.145197
1707.240829,1000,5029.363545
1272.166546,1000,5034.873327
1581.655864,1000,5037.308398
2062.223862,1000,5042.788661
1485.398632,1000,5045.138537
1762.118263,1000,5050.752339
2496.315929,1000,5053.031363
1934.652434,1000,5058.650217
879.553214,1000,5060.84306
1542.737497,1000,5066.424753
989.311949,1000,5068.903515
2280.714337,1000,5074.490753
1414.643329,1000,5076.986578
1562.312782,1000,5082.694685
884.940461,1000,5085.109613
2188.956958,1000,5090.610373
2402.545802,1000,5092.973238
996.030509,1000,5098.605844
1000.473636,1000,5100.880499
1635.455744,1000,5106.562442
1850.489324,1000,5108.895407
1883.222624,1000,5114.356793
2169.200717,1000,5116.65692
2486.782578,1000,5122.018426
2027.732284,1000,5124.260463
2041.93086,1000,5129.736479
1961.456036,1000,5132.084661
2026.42786,1000,5137.668677
1446.173711,1000,5139.89706
2639.134572,1000,5145.402369
1354.400718,1000,5147.647325
1007.494965,1000,5153.020468
1217.249039,1000,5155.296535
1433.066739,1000,5160.907633
1966.228206,1000,5163.367641
1512.837428,1000,5169.088627
1681.974532,1000,5171.587456
2310.157918,1000,5177.163295
1703.031661,1000,5179.382947
2127.638012,1000,5185.009534
1562.501577,1000,5187.449202
1196.781814,1000,5192.945205
2070.423632,1000,5195.07027
1483.301804,1000,5200.747715
1249.451224,1000,5203.164127
2001.14743,1000,5208.820186
2757.175458,1000,5211.00383
1605.831191,1000,5216.718009
1096.562997,1000,5219.140537
2102.515516,1000,5224.749997
1719.840519,1000,5227.107752
1308.127709,1000,5232.608325
1579.179447,1000,5235.107649
1619.057595,1000,5240.715669
1669.096966,1000,5243.036604
1508.970994,1000,5248.532169
1567.332551,1000,5250.856231
1407.01635,1000,5256.494433
2282.098268,1000,5258.917541
1354.433965,1000,5264.627888
1669.946029,1000,5266.879185
1733.131647,1000,5272.608616
2340.009796,1000,5274.934154
1589.209414,1000,5280.6083
2257.377611,1000,5282.909447
1549.339495,1000,5288.600316
2009.424068,1000,5291.058591
1581.96769,1000,5296.838585
1244.440025,1000,5299.091516
1051.604297,1000,5304.683827
2036.03777,1000,5307.041245
1537.560354,1000,5312.806256
1520.077552,1000,5315.037894
2322.422072,1000,5320.736492
2420.488422,1000,5322.945021
1859.872581,1000,5328.62549
2280.890289,1000,5330.921669
1923.271687,1000,5336.550762
1717.418247,1000,5338.941161
1881.702346,1000,5344.636916
1791.881476,1000,5346.964214
1627.132087,1000,5352.60918
1078.066544,1000,5354.986329
1653.012693,1000,5360.602354
1531.586835,1000,5363.011644
2085.789526,1000,5368.735273
1158.197563,1000,5371.122269
930.171843,1000,5376.85031
978.846668,1000,5379.182053
895.616039,1000,5384.878571
1544.184305,1000,5387.376757
1257.798613,1000,5393.184746
2066.151951,1000,5395.402139
1393.394707,1000,5401.048951
1119.225216,1000,5403.238706
1899.687053,1000,5408.931561
1596.074246,1000,5411.073171
856.674288,1000,5416.688073
1737.560142,1000,5419.022092
1189.69286,1000,5424.714155
1166.735382,1000,5427.173599
1710.055946,1000,5432.939533
1576.803119,1000,5435.204026
1738.169479,1000,5440.933766
1057.81584,1000,5443.195805
546.699617,1000,5449.02628
1795.462452,1000,5451.385498
2036.263876,1000,5457.00818
1628.453594,1000,5459.222545
2385.002084,1000,5464.969583
737.392467,1000,5467.423533
1295.95672,1000,5473.1358
1673.679054,1000,5475.5804
1225.396386,1000,5481.066326
1273.821952,1000,5483.464623
1337.243468,1000,5489.117036
1799.260552,1000,5491.519684
1816.339498,1000,5497.299602
799.002945,1000,5499.585198
1332.179714,1000,5505.342095
1286.733683,1000,5507.804908
734.994149,1000,5513.357398
1538.842858,1000,5515.699932
1049.980298,1000,5521.444418
1765.874697,1000,5523.717396
1519.42179,1000,5529.566231
1407.764552,1000,5532.073672
1838.711373,1000,5537.994584
1215.778121,1000,5540.189422
1370.235453,1000,5545.915028
1396.673464,1000,5548.040657
933.125849,1000,5553.864262
811.005239,1000,5556.333146
524.680989,1000,5562.084667
-3487.149889,1000,5564.512199
457.544747,1000,5570.342289
-5880.915589,1000,5572.672733
-6871.215107,1000,5578.517922
-90.657107,1000,5580.818212
-1113.986029,1000,5586.559103
-469.208948,1000,5588.889726
-633.478583,1000,5594.825544
-985.064343,1000,5597.249243
-346.682553,1000,5603.200111
161.765962,1000,5605.438211
-318.426415,1000,5611.256702
-527.087329,1000,5613.627273
224.511061,1000,5619.381418
546.514875,1000,5621.618128
1151.060574,1000,5627.456493
1120.877681,1000,5629.908831
1030.430999,1000,5635.732358
1691.054722,1000,5638.10575
-345.700113,1000,5643.818691
1033.695349,1000,5646.014995
68.95409,1000,5651.689091
866.744651,1000,5653.945007
381.798774,1000,5659.831044
1523.696725,1000,5662.033256
1297.361888,1000,5667.893506
1570.576521,1000,5670.290012
548.86575,1000,5676.284031
1678.232999,1000,5678.743314
1042.307708,1000,5684.611952
1190.121771,1000,5687.076275
1131.224093,1000,5692.986226
1245.877777,1000,5695.358127
1335.507144,1000,5701.307302
1254.249279,1000,5703.774577
337.680733,1000,5709.581937
1412.359449,1000,5712.039445
1812.152352,1000,5717.868729
266.555467,1000,5720.238107
1682.404052,1000,5725.994568
1767.106418,1000,5728.363572
2132.962809,1000,5734.322135
1291.09927,1000,5736.756455
286.493814,1000,5742.497645
1619.461637,1000,5744.93005
1313.965905,1000,5750.774176
1843.080639,1000,5752.926967
881.610381,1000,5758.814197
2067.802306,1000,5761.063473
907.421506,1000,5767.106775
1107.599061,1000,5769.439212
2437.858022,1000,5775.284769
1052.195458,1000,5777.751797
1872.876902,1000,5783.73421
1795.653807,1000,5785.982049
2096.498815,1000,5791.928821
2784.24423,1000,5794.215388
1842.174297,1000,5800.210565
1609.08616,1000,5802.571987
2145.51141,1000,5808.60582
2268.94969,1000,5811.070305
1773.881806,1000,5816.936201
2608.249504,1000,5819.294561
1936.493885,1000,5825.084482
2161.480743,1000,5827.233469
1861.820286,1000,5832.927209
2056.227801,1000,5835.294401
1578.223851,1000,5840.930156
1710.404157,1000,5843.321768
1101.260669,1000,5849.111946
1683.010864,1000,5851.485613
2337.994568,1000,5857.347188
1900.99241,1000,5859.654775
2263.497412,1000,5865.587973
2413.901377,1000,5867.839371
1304.008799,1000,5873.764994
2214.191309,1000,5876.071127
2334.690484,1000,5882.108343
1438.448043,1000,5884.465856
1408.330906,1000,5890.179881
1970.196726,1000,5892.303757
764.364613,1000,5898.341132
2227.504987,1000,5900.61546
2414.636737,1000,5906.48981
1491.264681,1000,5908.798145
1845.013013,1000,5914.822657
1560.020486,1000,5917.332101
2627.675524,1000,5923.286696
1233.879567,1000,5925.719629
2064.012059,1000,5931.734171
1482.435791,1000,5934.075638
984.983361,1000,5940.046722
1561.546661,1000,5942.436353
2878.65888,1000,5948.373396
1890.42794,1000,5950.725209
1917.620647,1000,5956.804929
2033.030601,1000,5958.982165
1578.332897,1000,5964.986298
536.104339,1000,5967.426467
1164.681358,1000,5973.4089
1761.955807,1000,5975.797431
1393.315342,1000,5981.978229
951.121194,1000,5984.377795
1471.071734,1000,5990.449511
1499.225791,1000,5992.851116
1945.006088,1000,5998.85814
1701.496881,1000,6001.292722
2459.537516,1000,6007.347744
1403.877788,1000,6009.655024
1120.058424,1000,6015.44261
1131.612668,1000,6017.789783
2289.867867,1000,6023.780289
847.040124,1000,6026.064083
1826.300486,1000,6032.000361
587.114385,1000,6034.113889
826.897591,1000,6040.217379
1666.714353,1000,6042.535147
2441.78526,1000,6048.43815
1448.294296,1000,6050.644138
2408.307188,1000,6056.639115
2020.013504,1000,6059.049953
356.825252,1000,6065.050292
3242.239273,1000,6067.470732
2396.257468,1000,6073.540114
2055.332957,1000,6075.741901
2436.873779,1000,6081.715325
650.772095,1000,6083.926291
174.2289,1000,6090.022425
1583.051296,1000,6092.324849
1652.300804,1000,6098.289827
1186.050376,1000,6100.585458
1861.89099,1000,6106.592528
2177.187581,1000,6109.011938
2069.529278,1000,6115.07746
1634.755598,1000,6117.217423
2404.545399,1000,6123.115524
1900.59085,1000,6125.28542
842.805301,1000,6131.327257
1598.645763,1000,6133.787411
2116.847726,1000,6139.71873
1801.126999,1000,6141.855281
1938.963843,1000,6147.856174
1662.2088,1000,6150.097156
1592.805529,1000,6156.316291
1792.147337,1000,6158.724007
1485.432188,1000,6164.888683
2719.386245,1000,6167.301252
1309.765358,1000,6173.366725
2377.859734,1000,6175.751712
1757.449725,1000,6181.699101
2386.952741,1000,6183.828781
2436.195586,1000,6189.907754
1784.673483,1000,6192.226419
1566.368356,1000,6198.258786
2143.591073,1000,6200.411621
1052.110307,1000,6206.403598
1786.362808,1000,6208.654937
1785.010515,1000,6214.678521
1407.493077,1000,6217.176706
1975.805433,1000,6223.335076
2017.670439,1000,6225.722136
980.579222,1000,6231.778391
2646.829479,1000,6233.912269
2127.03116,1000,6239.826798
1997.701666,1000,6242.134337
2015.263214,1000,6248.336271
2130.777347,1000,6250.633821
1423.905429,1000,6256.700206
2256.136442,1000,6259.061486
2194.313312,1000,6265.200767
1217.732598,1000,6267.506863
1870.89802,1000,6273.697132
1437.464913,1000,6275.894094
2047.250337,1000,6282.085635
1967.849567,1000,6284.265799
1680.439771,1000,6290.459268
1702.693484,1000,6292.652004
2310.768193,1000,6298.848191
2248.333582,1000,6301.300191
1896.668675,1000,6307.340758
1910.203932,1000,6309.604565
2170.855997,1000,6315.781294
1332.71628,1000,6318.279044
1820.960955,1000,6324.41257
2215.357579,1000,6326.691401
2349.684435,1000,6332.890512
1845.119626,1000,6335.190869
2483.947706,1000,6341.483687
1550.25362,1000,6343.915156
399.046098,1000,6350.141941
1919.63589,1000,6352.350722
2073.017858,1000,6358.475294
1074.684553,1000,6360.832095
1194.911463,1000,6366.886657
2548.549603,1000,6369.250892
978.549751,1000,6375.417836
2385.56904,1000,6377.836688
1628.831102,1000,6383.929936
1815.517356,1000,6386.314095
1392.490718,1000,6392.341574
1382.973434,1000,6394.80054
1561.372713,1000,6401.042334
844.105716,1000,6403.397133
1974.731705,1000,6409.717893
2164.286817,1000,6411.866516
1830.952567,1000,6418.052921
1853.545514,1000,6420.194823
2020.550064,1000,6426.240811
2611.011215,1000,6428.642513
2124.999409,1000,6434.761766
1273.592501,1000,6436.947745
1657.898557,1000,6443.25123
1397.363716,1000,6445.747361
2122.712168,1000,6451.997158
1228.63639,1000,6454.456649
1606.584135,1000,6460.777409
2325.245392,1000,6463.114202
796.621775,1000,6469.505778
2079.185844,1000,6471.998184
1827.558943,1000,6478.246172
1762.523051,1000,6480.602834
1240.17177,1000,6486.737641
1649.248166,1000,6488.986641
2455.790255,1000,6495.096091
2325.640424,1000,6497.324191
2846.390068,1000,6503.532036
2963.272834,1000,6505.875429
2965.53947,1000,6511.913337
3160.59335,1000,6514.147472
2934.401947,1000,6520.416322
2719.92583,1000,6522.665196
1432.316117,1000,6528.811346
1988.545955,1000,6531.195729
2458.923821,1000,6537.568403
1301.859536,1000,6539.999343
495.471966,1000,6546.381685
2142.947575,1000,6548.740502
1490.431805,1000,6554.777787
1592.638225,1000,6557.090559
2170.120285,1000,6563.173767
3469.36085,1000,6565.395642
2285.029706,1000,6571.580133
2480.793769,1000,6573.829321
2265.553334,1000,6580.025519
2734.686588,1000,6582.213099
1878.070483,1000,6588.401734
2742.451794,1000,6590.673539
1482.789798,1000,6596.847347
2815.568501,1000,6599.208405
3284.600622,1000,6605.442485
2801.503876,1000,6607.871092
2955.596113,1000,6614.190084
2692.662765,1000,6616.592714
1584.651848,1000,6622.881756
2415.867145,1000,6625.264172
3271.137577,1000,6631.657294
3068.237946,1000,6634.04302
3010.765818,1000,6640.261815
2264.095674,1000,6642.59062
2907.919668,1000,6649.020127
2196.323827,1000,6651.282784
2896.943643,1000,6657.640683
2190.483724,1000,6660.021602
2831.61415,1000,6666.140427
2416.053769,1000,6668.281036
2348.361026,1000,6674.555116
2747.730008,1000,6676.980663
3003.315341,1000,6683.298205
2139.833615,1000,6685.561393
2256.997576,1000,6692.006186
2860.863297,1000,6694.336108
2328.855509,1000,6700.806527
2748.605641,1000,6703.294541
2910.728209,1000,6709.607877
2645.56181,1000,6711.976506
2587.761935,1000,6718.224176
3132.356575,1000,6720.526891
2414.904939,1000,6726.892386
2932.00317,1000,6729.241807
2747.334444,1000,6735.453567
2091.979611,1000,6737.908888
2114.058627,1000,6744.186661
2260.171663,1000,6746.435616
2626.484543,1000,6752.647695
2938.617846,1000,6754.960334
2436.346523,1000,6761.322337
2443.70567,1000,6763.753748
3770.659707,1000,6770.179713
2763.159251,1000,6772.417881
2283.239486,1000,6778.80609
2232.446435,1000,6781.017197
2536.562322,1000,6787.403429
3229.296906,1000,6789.840048
2088.941159,1000,6796.197196
2394.132889,1000,6798.684608
2852.604843,1000,6805.019706
2197.130385,1000,6807.367849
2905.327677,1000,6813.718423
3032.581941,1000,6815.90382
3376.735865,1000,6822.116731
2705.730094,1000,6824.391226
3163.664171,1000,6830.603773
3146.275835,1000,6832.826227
3043.064147,1000,6839.339717
2909.766177,1000,6841.715091
2404.860274,1000,6848.037036
2779.806256,1000,6850.462121
3211.603897,1000,6856.664132
3084.532721,1000,6859.061486
3318.931287,1000,6865.559592
2419.93087,1000,6867.888697
2233.325471,1000,6874.298975
2654.231069,1000,6876.597977
2653.201387,1000,6882.95954
3245.1879,1000,6885.290742
2718.950623,1000,6891.657411
3048.546718,1000,6893.966506
3579.807315,1000,6900.457695
2161.206238,1000,6902.804445
3063.990677,1000,6909.224237
2706.318465,1000,6911.423422
2900.784593,1000,6917.858023
3570.474514,1000,6920.284044
3642.798818,1000,6926.586297
2883.238147,1000,6928.840122
3287.706458,1000,6935.186147
3443.275577,1000,6937.430609
3531.525938,1000,6943.691609
2770.939555,1000,6945.848329
2760.198783,1000,6952.282005
3416.752822,1000,6954.492509
3952.968283,1000,6960.830592
3321.759722,1000,6963.158882
3891.377649,1000,6969.670171
3081.982522,1000,6971.928524
3154.197728,1000,6978.435921
2985.793897,1000,6980.67856
4097.293941,1000,6987.108804
4252.389149,1000,6989.353008
4311.553004,1000,6995.838004
3794.473201,1000,6998.026567
4119.366181,1000,7004.358698
4070.869056,1000,7006.540335
4015.183172,1000,7012.87605
3853.927387,1000,7015.121163
3563.613245,1000,7021.488447
3979.854944,1000,7023.746412
3899.645807,1000,7030.350407
3927.718087,1000,7032.839111
3978.154791,1000,7039.370231
4309.866103,1000,7041.697156
3703.642411,1000,7048.163416
2070.781674,1000,7050.591121
3569.321162,1000,7056.985301
1242.151512,1000,7059.249793
932.228358,1000,7065.782618
1171.767602,1000,7068.249564
3478.698525,1000,7074.859403
3645.551769,1000,7077.214315
3418.913261,1000,7083.797553
3439.695446,1000,7086.133569
3687.532457,1000,7092.658195
3259.540449,1000,7094.870428
3418.597048,1000,7101.524488
3251.843026,1000,7103.748305
3334.170333,1000,7110.193972
3353.651244,1000,7112.419567
3072.650809,1000,7118.935691
3592.482368,1000,7121.177461
3610.045507,1000,7127.773284
3026.973132,1000,7129.973682
3534.02213,1000,7136.628773
3518.937028,1000,7138.896882
2997.604835,1000,7145.381999
3510.389024,1000,7147.756181
3325.144856,1000,7154.23888
2526.792945,1000,7156.621101
3158.927809,1000,7163.178755
3435.283484,1000,7165.601118
2019.689118,1000,7171.988507
3989.78682,1000,7174.308714
3536.974348,1000,7181.015497
3452.869268,1000,7183.327895
946.437026,1000,7190.047249
2834.991174,1000,7192.42634
2982.828737,1000,7198.96141
3022.729341,1000,7201.222128
3583.017342,1000,7207.797032
2171.188656,1000,7210.18001
3910.001941,1000,7216.610259
3325.319325,1000,7218.948223
3808.069674,1000,7225.500909
4120.127596,1000,7227.943805
3863.213608,1000,7234.450054
4196.362524,1000,7236.609488
4093.588114,1000,7243.161151
3916.163856,1000,7245.367582
4217.829024,1000,7251.915686
3828.130134,1000,7254.109647
2968.286845,1000,7260.585835
3746.646034,1000,7263.006856
3464.409039,1000,7269.54115
3735.729189,1000,7271.877816
3977.096841,1000,7278.538313
3829.785889,1000,7281.031059
3419.85771,1000,7287.495594
3727.431689,1000,7289.725686
3696.457028,1000,7296.394965
2838.273295,1000,7298.864735
3951.137246,1000,7305.695453
2161.197074,1000,7308.064817
3248.689173,1000,7314.55524
3922.703291,1000,7316.865082
3802.456947,1000,7323.590666
3104.751457,1000,7326.058873
2838.249243,1000,7332.580549
3787.374876,1000,7334.892824
3836.045584,1000,7341.4823
4025.958559,1000,7343.729845
3581.343772,1000,7350.135213
4026.016837,1000,7352.451682
3917.64631,1000,7359.021832
3754.250221,1000,7361.484685
4182.048159,1000,7368.074801
3862.737053,1000,7370.436546
4032.077494,1000,7377.003935
3782.077052,1000,7379.329699
3779.03813,1000,7385.972582
3615.992469,1000,7388.444052
3901.990533,1000,7395.049946
4032.402921,1000,7397.443486
3648.528222,1000,7403.975325
4115.196741,1000,7406.35348
3593.224276,1000,7413.006468
3875.158953,1000,7415.224181
3819.161507,1000,7422.033076
3914.011154,1000,7424.495642
3739.090508,1000,7431.009717
3195.170447,1000,7433.215301
3901.776891,1000,7439.840983
3586.30054,1000,7442.233048
3295.92235,1000,7448.932177
2621.715851,1000,7451.410139
3258.24535,1000,7457.967492
3787.051088,1000,7460.11011
3929.116171,1000,7466.828503
3757.839268,1000,7469.15722
3505.220363,1000,7475.722605
3376.607453,1000,7478.192045
3806.900921,1000,7484.842238
3091.969825,1000,7487.294088
3860.0222,1000,7494.050538
3858.087516,1000,7496.492605
3601.154636,1000,7503.197247
3775.897383,1000,7505.595245
4226.634104,1000,7512.330671
3289.501344,1000,7514.509297
3476.119541,1000,7521.255935
3994.99076,1000,7523.492672
4233.688382,1000,7530.109524
3922.771366,1000,7532.461383
3264.55832,1000,7539.130324
3518.209324,1000,7541.391212
3531.817451,1000,7548.163475
3451.902295,1000,7550.66049
4438.328995,1000,7557.509481
3104.576985,1000,7559.970372
3871.394873,1000,7566.625843
3526.102697,1000,7568.925433
3097.355099,1000,7575.486886
3892.129648,1000,7577.707941
3497.261931,1000,7584.373051
3736.484386,1000,7586.623097
3565.323586,1000,7593.258101
3803.89352,1000,7595.677565
3585.378602,1000,7602.332533
3780.647124,1000,7604.509088
3322.512548,1000,7611.147285
3307.485359,1000,7613.456811
3117.468361,1000,7620.249732
2948.682361,1000,7622.585842
3474.425343,1000,7629.433755
3214.448225,1000,7631.677266
3915.007167,1000,7638.507394
3938.00434,1000,7640.82375
3567.235333,1000,7647.647553
3884.327606,1000,7650.067732
3899.769985,1000,7656.903835
3784.635503,1000,7659.110647
4134.5472,1000,7665.91753
3569.815667,1000,7668.34323
3322.691096,1000,7675.213099
4077.194897,1000,7677.711475
3417.817756,1000,7684.55342
3707.887286,1000,7686.932132
3332.114278,1000,7693.58771
3824.306043,1000,7696.066746
3684.942336,1000,7702.912472
3776.254543,1000,7705.082294
3335.068016,1000,7711.837931
3689.953479,1000,7714.070478
3958.820453,1000,7720.741661
3045.15147,1000,7723.020617
3676.025496,1000,7729.688114
3661.370312,1000,7732.052992
3024.897975,1000,7738.863176
3713.15421,1000,7741.134215
3686.806493,1000,7747.959875
3194.055611,1000,7750.354982
3440.761535,1000,7757.114054
3503.669665,1000,7759.394705
3314.842092,1000,7766.092496
3622.458138,1000,7768.414746
3838.383196,1000,7775.121203
3838.255072,1000,7777.572073
3479.092027,1000,7784.237264
3665.617735,1000,7786.730594
4006.846412,1000,7793.41254
3811.661143,1000,7795.707911
4172.036982,1000,7802.456563
3525.46762,1000,7804.961689
4161.588279,1000,7811.76604
3904.131517,1000,7814.087201
3838.131333,1000,7820.843282
4101.589554,1000,7823.020593
